Cod_Producto,Bombona,Cod_Contenido,ContenidoFuente,Cod_UnidadFuente,UnidadFuenteLegacy,CantidadFuenteLegacy,M3GasResultado,PesoNetoKgResultado
290,"Aire Sintético Comprimido (N2 + O2 20%)  B50 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",2.681000,9.900000,12.070000
291,"Aire Sintético Comprimido (N2 + O2 20%)  B7 / 200BAR ",378,"Oxigeno Liquido - LOX",2,"Litros",0.375000,1.390000,1.690000
292,"Aire Sintético Comprimido (N2 + O2 20%) 12*80 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",51.474000,190.080000,231.670000
293,"Aire Sintético Comprimido (N2 + O2 20%) 16*50 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",42.895000,158.400000,193.060000
294,"Aire Sintético Comprimido (N2 + O2 20%) 16*80 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",68.632000,253.440000,308.890000
295,"Aire Sintético Comprimido (N2 + O2 20%) B16 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",0.858000,3.170000,3.860000
296,"Aire Sintético Comprimido (N2 + O2 20%) B2 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",0.107000,0.400000,0.480000
297,"Aire Sintético Comprimido (N2 + O2 20%) B20 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",1.072000,3.960000,4.830000
298,"Aire Sintético Comprimido (N2 + O2 20%) B30 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",1.609000,5.940000,7.240000
299,"Aire Sintético Comprimido (N2 + O2 20%) B80 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",4.289000,15.840000,19.310000
300,"Aire Sintético Comprimido 12*50 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",48.257000,178.200000,219.300000
301,"Aire Sintético Comprimido 12*80 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",77.210000,285.120000,350.880000
302,"Aire Sintético Comprimido 16*50 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",64.342000,237.600000,292.400000
303,"Aire Sintético Comprimido 16*80 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",102.947000,380.160000,467.840000
304,"Aire Sintético Comprimido B10 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",0.804000,2.970000,3.660000
305,"Aire Sintético Comprimido B14 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",1.126000,4.160000,5.120000
306,"Aire Sintético Comprimido B16 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",1.287000,4.750000,5.850000
307,"Aire Sintético Comprimido B2 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",0.161000,0.590000,0.730000
308,"Aire Sintético Comprimido B20 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",1.609000,5.940000,7.310000
309,"Aire Sintético Comprimido B30 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",2.413000,8.910000,10.970000
310,"Aire Sintético Comprimido B40 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",3.217000,11.880000,14.620000
311,"Aire Sintético Comprimido B5 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",0.402000,1.490000,1.830000
312,"Aire Sintético Comprimido B50 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",4.021000,14.850000,18.280000
313,"Aire Sintético Comprimido B7 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",0.563000,2.080000,2.560000
314,"Aire Sintético Comprimido B80 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",6.434000,23.760000,29.240000
315,"Oxigeno Industrial 12*50 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",150.986000,127.200000,150.990000
316,"Oxigeno Industrial 12*50 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",227.904000,192.000000,227.900000
317,"Oxigeno Industrial 12*80 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",241.578000,203.520000,241.580000
318,"Oxigeno Industrial 12*80 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",364.646000,307.200000,364.650000
319,"Oxigeno Industrial 16*50 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",201.315000,169.600000,201.320000
320,"Oxigeno Industrial 16*50 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",303.872000,256.000000,303.870000
321,"Oxigeno Industrial 16*80 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",322.104000,271.360000,322.100000
322,"Oxigeno Industrial 16*80 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",486.195000,409.600000,486.200000
323,"Oxigeno Industrial B 7 / 150BAR",378,"Oxigeno Liquido - LOX",2,"Litros",1.329000,1.120000,1.330000
324,"Oxigeno Industrial B10 / 150BAR",378,"Oxigeno Liquido - LOX",2,"Litros",1.899000,1.600000,1.900000
325,"Oxigeno Industrial B10 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",2.516000,2.120000,2.520000
326,"Oxigeno Industrial B10 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",3.798000,3.200000,3.800000
327,"Oxigeno Industrial B14 / 150BAR",378,"Oxigeno Liquido - LOX",2,"Litros",2.659000,2.240000,2.660000
328,"Oxigeno Industrial B14 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",3.523000,2.970000,3.520000
329,"Oxigeno Industrial B14 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",5.318000,4.480000,5.320000
330,"Oxigeno Industrial B16 / 150BAR",378,"Oxigeno Liquido - LOX",2,"Litros",3.039000,2.560000,3.040000
331,"Oxigeno Industrial B16 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",4.026000,3.390000,4.030000
332,"Oxigeno Industrial B16 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",6.077000,5.120000,6.080000
333,"Oxigeno Industrial B2 / 150BAR",378,"Oxigeno Liquido - LOX",2,"Litros",0.380000,0.320000,0.380000
334,"Oxigeno Industrial B2 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",0.503000,0.420000,0.500000
335,"Oxigeno Industrial B2 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",0.760000,0.640000,0.760000
336,"Oxigeno Industrial B20 / 150BAR",378,"Oxigeno Liquido - LOX",2,"Litros",3.798000,3.200000,3.800000
337,"Oxigeno Industrial B20 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",5.033000,4.240000,5.030000
